,barcode,entry,species_consensus,groups_consensus,accession_number,usda_q_number,alt_accession_number,uiuc_id,minicores_ainsworth_2025,quantity,transplanted,date_transplant,project,project_id,labeled,survival_6wks,root_exudate_collect_6wks,incubation_start_6wks,incubation_end_6wks,soil_6wks,soil_dry_time_start_6wks,soil_dry_time_end_6wks,root_dry_time_start_6wks,root_dry_time_end_6wks,root_6wks,root_exudate_collect_15wks,incubation_start_15wks,incubation_end_15wks,soil_15wks,soil_dry_time_start_15wks,soil_dry_time_end_15wks,root_dry_time_start_15wks,root_dry_time_end_15wks,root_15wks,notes,week,flush,sample_type,flush_initial_volume,flush_replenish,flush_final_volume,soil_initial_mg,soil_24hrs_mg,soil_final_mg,root_initial_mg,root_final_mg
11,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,6wks,,soil,,,,,,,,
12,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,6wks,,root,,,,,,,,
13,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,15wks,flush_1,exudate,,,,,,,,
14,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,15wks,flush_2,exudate,,,,,,,,
15,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,15wks,,soil,,,,,,,,
16,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,15wks,,root,,,,,,,,
17,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
18,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_2,exudate,,,,,,,,
19,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,soil,,,,,,,,
20,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,root,,,,,,,,
21,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_1,exudate,,,,,,,,
22,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_2,exudate,,,,,,,,
23,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,soil,,,,,,,,
24,Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,N China 2x Msa,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,root,,,,,,,,
25,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
26,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_2,exudate,,,,,,,,
27,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,soil,,,,,,,,
28,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,root,,,,,,,,
29,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_1,exudate,,,,,,,,
30,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_2,exudate,,,,,,,,
31,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,soil,,,,,,,,
32,Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,JY006,Q49861,,UI19-00087,JY006,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,root,,,,,,,,
33,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,flush_1,exudate,,,,,,,,
34,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,flush_2,exudate,,,,,,,,
35,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,,soil,,,,,,,,
36,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,,root,,,,,,,,
37,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,flush_1,exudate,10,5,10.4,4.0094,0.8778,0.8668,0.0082,0.0071
38,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,flush_2,exudate,10,,9.5,4.0094,0.8778,0.8668,0.0082,0.0071
39,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,,soil,,,,4.0094,0.8778,0.8668,0.0082,0.0071
40,Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:39:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,,root,,,,4.0094,0.8778,0.8668,0.0082,0.0071
41,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
42,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_2,exudate,,,,,,,,
43,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,soil,,,,,,,,
44,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,,root,,,,,,,,
45,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_1,exudate,,,,,,,,
46,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,flush_2,exudate,,,,,,,,
47,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,soil,,,,,,,,
48,Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,15wks,,root,,,,,,,,
49,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
50,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,6wks,flush_2,exudate,,,,,,,,
51,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,6wks,,soil,,,,,,,,
52,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,6wks,,root,,,,,,,,
53,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,15wks,flush_1,exudate,,,,,,,,
54,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,15wks,flush_2,exudate,,,,,,,,
55,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,15wks,,soil,,,,,,,,
56,Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,15wks,,root,,,,,,,,
57,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,N China/Korea/Russia 4x Msa,RU2012-056.1WD (4x),Q47667,,UI19-00082,RU2012-056.1WD (4x),1,1,2025/07/18 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
