Barcode,Entry,Species_consensus,Accession_#,USDA_Q_#,Alt_accession_#,UIUC_ID,minicores_Ainsworth_2025,quantity,transplanted,date_transplant,project,project_id,labeled,survival_6wks,replaced_july2025,root_exudate_collect_6wks,incubation_start_6wks,incubation_end_6wks,flush_1_initial_volume_6wks,flush_1_replenish_6wks,flush_2_initial_volume_6wks,flush_1_final_volume_6wks,flush_2_final_volume_6wks,soil_6wks,soil_dry_time_start_6wks,soil_dry_time_end_6wks,soil_start_mg_6wks,soil_24hrs_mg_6wks,soil_end_mg_6wks,root_dry_time_start_6wks,root_dry_time_end_6wks,root_6wks,root_start_mg_6wks,root_end_mg_6wks,root_exudate_collect_15wks,incubation_start_15wks,incubation_end_15wks,flush_1_initial_volume_15wks,flush_1_replenish_15wks,flush_2_initial_volume_15wks,flush_1_final_volume_15wks,flush_2_final_volume_15wks,soil_15wks,soil_dry_time_start_15wks,soil_dry_time_end_15wks,soil_start_mg_15wks,soil_24hrs_mg_15wks,soil_end_mg_15wks,root_dry_time_start_15wks,root_dry_time_end_15wks,root_15wks,root_start_mg_15wks,root_end_mg_15wks,Notes
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2',Miscanthus sacchariflorus 4x,JPN-2011-010,Q46810,JPN-2011-010,UI21-00065,JPN-2011-010,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'PMS-512'-Accn:PMS-512-Q49089-Alt:,Miscanthus sacchariflorus  'PMS-512',Miscanthus sacchariflorus,PMS-512,Q49089,,UI21-00076,PMS-512,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'RU2012-048'-Accn:RU2012-048-Q47661-Alt:,Miscanthus sacchariflorus  'RU2012-048',Miscanthus sacchariflorus,RU2012-048,Q47661,,UI19-00122,RU2012-048,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,RU2012-069,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,RU2012-112,,,,mxg_genotype_exudates,MXG_GENEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,RU2012-114,,,,mxg_genotype_exudates,MXG_GENEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,RU2012-174,1,,,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'Robustus-Bluemel'-Accn:UI10-00009--Alt:,Miscanthus sacchariflorus  'Robustus-Bluemel',Miscanthus sacchariflorus,UI10-00009,,,UI19-00096,UI10-00009,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:36:00,2025-08-06 10:00:00,10,5,10,10.4,9.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0128,0.8864,0.8765,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0205,0.0114,Was not part of inital 6wk samples
Miscanthus sacchariflorus 4x  'Tohoku-2010-036'-Accn:JPN-2010-002-Q46424-Alt:JPN-2010-002,Miscanthus sacchariflorus 4x  'Tohoku-2010-036',Miscanthus sacchariflorus 4x,JPN-2010-002,Q46424,JPN-2010-002,UI19-00262,JPN-2010-002,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'Tohoku-2010-014'-Accn:JPN-2010-006-Q46428-Alt:JPN-2010-006,Miscanthus sacchariflorus 4x  'Tohoku-2010-014',Miscanthus sacchariflorus 4x,JPN-2010-006,Q46428,JPN-2010-006,UI19-00275,JPN-2010-006,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'Gifu-2010-016'-Accn:JPN-2011-004-Q46804-Alt:JPN-2011-004,Miscanthus sacchariflorus 4x  'Gifu-2010-016',Miscanthus sacchariflorus 4x,JPN-2011-004,Q46804,JPN-2011-004,UI19-00260,JPN-2011-004,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:26:00,2025-08-06 10:00:00,10,5,10,8.46,8.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0122,0.7713,0.7664,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.012,0.0093,Was not part of inital 6wk samples
Miscanthus sacchariflorus 4x  'Gifu-2010-024'-Accn:JPN-2011-012-Q46812-Alt:JPN-2011-012,Miscanthus sacchariflorus 4x  'Gifu-2010-024',Miscanthus sacchariflorus 4x,JPN-2011-012,Q46812,JPN-2011-012,UI19-00272,JPN-2011-012,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'Hokkaido Univ-selection-3'-Accn:JPN-2011-023-Q46823-Alt:JPN-2011-023,Miscanthus sacchariflorus 4x  'Hokkaido Univ-selection-3',Miscanthus sacchariflorus 4x,JPN-2011-023,Q46823,JPN-2011-023,UI19-00295,JPN-2011-023,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:32:00,2025-08-06 10:00:00,10,5,10,8.5,8.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0147,1.0065,0.9851,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0235,0.0163,Was not part of inital 6wk samples
Miscanthus sacchariflorus 4x  'EMI-5'-Accn:UI11-00027--Alt:,Miscanthus sacchariflorus 4x  'EMI-5',Miscanthus sacchariflorus 4x,UI11-00027,,,UI19-00298,UI11-00027,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus ssp. lutarioriparius  'JY016'-Accn:JY016-Q49871-Alt:,Miscanthus sacchariflorus ssp. lutarioriparius  'JY016',Miscanthus sacchariflorus ssp. lutarioriparius,JY016,Q49871,,UI19-00387,JY016,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus ssp. lutarioriparius  'JY025'-Accn:JY025-Q49880-Alt:,Miscanthus sacchariflorus ssp. lutarioriparius  'JY025',Miscanthus sacchariflorus ssp. lutarioriparius,JY025,Q49880,,UI19-00391,JY025,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:21:00,2025-08-06 10:00:00,10,5,10,11.6,8.4,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0145,0.9201,0.906,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.011,0.0066,Was not part of inital 6wk samples
Miscanthus sacchariflorus ssp. lutarioriparius  'JY045'-Accn:JY045-Q49898-Alt:,Miscanthus sacchariflorus ssp. lutarioriparius  'JY045',Miscanthus sacchariflorus ssp. lutarioriparius,JY045,Q49898,,UI19-00400,JY045,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus ssp. lutarioriparius  'PF30022'-Accn:UI11-00031--Alt:,Miscanthus sacchariflorus ssp. lutarioriparius  'PF30022',Miscanthus sacchariflorus ssp. lutarioriparius,UI11-00031,,,UI19-00392,UI11-00031,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'Strictus'-Accn:UI10-00092--Alt:,Miscanthus sinensis  'Strictus',Miscanthus sinensis,UI10-00092,,,UI10-00092,UI10-00092,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis 'Sugadaira'-Accn:UI11-00002--Alt:Koike-25,Miscanthus sinensis ‘Sugadaira’,Miscanthus sinensis,UI11-00002,,Koike-25,UI11-00002,,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:07:00,2025-06-03 10:30:00,10.00,5.00,10.00,12.9,9.9,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.007,0.8895,0.8926,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0225,0.016,1,2025-08-05 10:51:00,2025-08-06 10:00:00,10,5,10,10.4,10.6,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0188,0.8249,0.8122,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0166,0.0129,
Miscanthus sinensis  'PA-2010-003 Nat Pop 2011-93-1-10'-Accn:UI14-00020--Alt:,Miscanthus sinensis  'PA-2010-003 Nat Pop 2011-93-1-10',Miscanthus sinensis,UI14-00020,,,UI14-00020,UI14-00020,,,,mxg_genotype_exudates,MXG_GENEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis ssp. transmorrisonensis  'Digging Dog'-Accn:UI25-00001--Alt:,Miscanthus sinensis ssp. transmorrisonensis  'Digging Dog',Miscanthus sinensis ssp. transmorrisonensis,UI25-00001,,,UI25-00001,Msi ssp. transmorrisonensis,2,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 12:17:00,2025-06-03 10:10:00,10.00,5.00,10.00,8.5,5.8,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0041,0.9731,0.9559,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0835,0.0432,1,2025-08-05 11:07:00,2025-08-06 10:00:00,10,5,10,12,9.4,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0105,1.2665,1.2276,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0489,0.0161,Had a lot of trouble collecting flushes dues to clogged stopcock and filter.
Miscanthus sinensis  'KMS023'-Accn:KMS023-Q49557-Alt:,Miscanthus sinensis  'KMS023',Miscanthus sinensis,KMS023,Q49557,,KMS023,KMS023,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'KMS068'-Accn:KMS068-Q49571-Alt:,Miscanthus sinensis  'KMS068',Miscanthus sinensis,KMS068,Q49571,,KMS068,KMS068,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'KMS113'-Accn:KMS113-Q49591-Alt:,Miscanthus sinensis  'KMS113',Miscanthus sinensis,KMS113,Q49591,,KMS113,KMS113,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:22:00,2025-06-03 10:38:00,10.00,5.00,10.00,11.5,10,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0292,1.0085,0.9917,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0197,0.0153,1,2025-08-05 10:56:00,2025-08-06 10:00:00,10,5,10,12,8.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.008,0.7941,0.7752,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0608,0.0142,
Miscanthus sinensis  'KMS215'-Accn:KMS215-Q49612-Alt:,Miscanthus sinensis  'KMS215',Miscanthus sinensis,KMS215,Q49612,,KMS215,KMS215,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'PMS-436'-Accn:PMS-436-Q46862-Alt:UI12-00141,Miscanthus sinensis  'PMS-436',Miscanthus sinensis,PMS-436,Q46862,UI12-00141,PMS-436,PMS-436,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'RU2012-217'-Accn:RU2012-217-Q47799-Alt:,Miscanthus sinensis  'RU2012-217',Miscanthus sinensis,RU2012-217,Q47799,,RU2012-217,RU2012-217,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'RU2012-219'-Accn:RU2012-219-Q47801-Alt:,Miscanthus sinensis  'RU2012-219',Miscanthus sinensis,RU2012-219,Q47801,,RU2012-219,RU2012-219,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'RU2012-221'-Accn:RU2012-221-Q47802-Alt:,Miscanthus sinensis  'RU2012-221',Miscanthus sinensis,RU2012-221,Q47802,,RU2012-221,RU2012-221,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'JM0034.001'-Accn:JM0034.001-Q49545-Alt:,Miscanthus sinensis  'JM0034.001',Miscanthus sinensis,JM0034.001,Q49545,,JM0034.001,JM0034.001,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:49:00,2025-06-03 10:51:00,10.00,5.00,10.00,9.4,9.5,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0023,0.9361,0.9278,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0588,0.0303,1,2025-08-05 11:18:00,2025-08-06 10:00:00,10,5,10,13.5,10,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0148,0.7941,0.7706,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0383,0.0178,
Miscanthus sinensis  'JM0062.001'-Accn:JM0062.001-Q49550-Alt:,Miscanthus sinensis  'JM0062.001',Miscanthus sinensis,JM0062.001,Q49550,,JM0062.001,JM0062.001,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 10:55:00,2025-06-03 10:00:00,10.00,5.00,10.00,3,5.5,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0002,0.9404,0.8905,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0708,0.0305,1,2025-08-05 10:43:00,2025-08-06 10:00:00,10,5,10,12,10.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0002,0.5468,0.53,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0797,0.0525,Had a lot of trouble collecting flushes dues to clogged stopcock and filter.
Miscanthus sinensis  'RU2012-002'-Accn:RU2012-002-Q47623-Alt:,Miscanthus sinensis  'RU2012-002',Miscanthus sinensis,RU2012-002,Q47623,,RU2012-002,RU2012-002,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'JM11-041'-Accn:JM11-041-Q47549-Alt:2011-39-1,Miscanthus sinensis  'JM11-041',Miscanthus sinensis,JM11-041,Q47549,2011-39-1,JM11-041,JM11-041,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'Gracillimus'-Accn:UI10-00048--Alt:,Miscanthus sinensis  'Gracillimus',Miscanthus sinensis,UI10-00048,,,UI10-00048,UI10-00048,,,,mxg_genotype_exudates,MXG_GENEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'Miyazaki'-Accn:UI11-00001--Alt:Koike-22,Miscanthus sinensis  'Miyazaki',Miscanthus sinensis,UI11-00001,Koike-22,Koike-22,UI11-00001,UI11-00001,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'NC-2010-003 Nat Pop 2011-75-3-5'-Accn:UI14-00019--Alt:,Miscanthus sinensis  'NC-2010-003 Nat Pop 2011-75-3-5',Miscanthus sinensis,UI14-00019,,,UI14-00019,UI14-00019,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:49:00,2025-06-03 10:25:00,10.00,5.00,10.00,8.4,9.5,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0035,1.1645,1.1523,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0246,0.0142,1,2025-08-05 10:32:00,2025-08-06 10:00:00,10,5,10,11,9.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.002,0.7823,0.7565,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0047,0.0039,"While transfering into the 6wk sample oven to dry, a small bit of soil was spilled"
Miscanthus floridulus  'NG77-022'-Accn:PI417947--Alt:,Miscanthus floridulus  'NG77-022',Miscanthus floridulus,PI417947,,,PI417947,PI417947,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:41:00,2025-06-03 10:35:00,10.00,5.00,10.00,11,9,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0068,0.9682,0.9685,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0992,0.0321,1,2025-08-05 11:00:00,2025-08-06 10:00:00,10,5,10,10,9.25,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0028,0.84,0.8586,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.2352,0.0611,The 15wk sample of soil contains a lot of roots
Miscanthus sinensis  'PMS-182'-Accn:PMS-182-Q49102-Alt:,Miscanthus sinensis  'PMS-182',Miscanthus sinensis,PMS-182,Q49102,,PMS-182,PMS-182,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 11:29:00,2025-06-03 10:42:00,10.00,5.00,10.00,11.5,10.5,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0039,1.0387,1.0318,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.0434,0.0167,1,2025-08-05 11:08:00,2025-08-06 10:00:00,10,5,10,10,9.6,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0192,0.8564,0.833,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.096,0.034,
Miscanthus sinensis  'PMS-397'-Accn:PMS-397-Q45689-Alt:UI12-00139,Miscanthus sinensis  'PMS-397',Miscanthus sinensis,PMS-397,Q45689,UI12-00139,PMS-397,PMS-397,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'PMS-055'-Accn:PMS-055-Q49142-Alt:,Miscanthus sinensis  'PMS-055',Miscanthus sinensis,PMS-055,Q49142,,PMS-055,PMS-055,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'PMS-475'-Accn:PMS-475-Q49237-Alt:,Miscanthus sinensis  'PMS-475',Miscanthus sinensis,PMS-475,Q49237,,PMS-475,PMS-475,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sinensis  'PMS-546'-Accn:PMS-546-Q49239-Alt:,Miscanthus sinensis  'PMS-546',Miscanthus sinensis,PMS-546,Q49239,,PMS-546,PMS-546,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,1,2025-06-02 12:23:00,2025-06-03 10:54:00,10.00,5.00,10.00,12.5,9.5,1,2025-06-04 15:18:00,2025-06-06 15:26:00,4.0003,0.9326,0.9317,2025-06-04 15:18:00,2025-06-06 15:26:00,1,0.032,0.0217,1,2025-08-05 10:13:00,2025-08-06 10:00:00,10,5,10,10.3,10.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0174,0.9042,0.8743,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0961,0.0283,
Miscanthus sinensis  'PMS-134'-Accn:PMS-134-Q46041-Alt:UI12-00115,Miscanthus sinensis  'PMS-134',Miscanthus sinensis,PMS-134,Q46041,UI12-00115,PMS-134,PMS-134,2,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
